ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
510,-1339,14575,-969,-285,-369
510,48,14846,-965,-375,-311
-554,-610,14583,-957,-295,-349
255,-1196,14583,-953,-355,-327
510,-307,14575,-989,-283,-297
255,-431,14284,-965,-325,-329
252,-331,14846,-893,-391,-333
510,-614,14575,-945,-295,-353
140,-754,14575,-949,-309,-327
255,-706,14806,-921,-309,-299
510,-467,14591,-913,-321,-359
510,-331,14798,-945,-365,-359
765,-590,14591,-925,-303,-331
-351,-267,14559,-905,-321,-357
255,255,14790,-857,-309,-321
196,52,14846,-901,-265,-387
255,-387,14543,-933,-321,-381
765,-726,14838,-929,-369,-347
765,-435,14280,-873,-309,-271
510,-618,14790,-985,-323,-373
1020,136,14822,-925,-387,-321
510,-762,14312,-913,-347,-321
765,-801,14559,-937,-319,-323
248,-371,14846,-945,-327,-295
168,-507,14806,-873,-363,-337
510,-566,14559,-961,-337,-351
148,510,14591,-865,-395,-341
510,-1060,14822,-861,-389,-345
765,-558,14591,-929,-337,-353
255,-801,14559,-973,-401,-287
1020,510,15093,-929,-259,-347
-630,-538,14846,-993,-361,-293
510,-993,14838,-937,-385,-387
510,-1666,15053,-941,-387,-329
1020,-913,14830,-853,-373,-421
255,-602,14543,-861,-375,-281
510,-662,14806,-873,-359,-347
-395,-1108,14575,-937,-327,-387
765,-762,14798,-921,-351,-349
765,255,14846,-913,-361,-293
510,-702,14316,-885,-407,-295
510,-467,14798,-889,-385,-355
-582,-299,14806,-969,-419,-299
244,84,14567,-981,-443,-381
244,84,14567,-981,-443,-321
-666,-1132,14806,-1034,-463,-365
510,-383,14798,-957,-343,-359
255,-447,14543,-849,-343,-365
-451,-1387,14567,-897,-341,-367
510,-1276,15607,-925,-329,-349
248,510,14300,-885,-351,-339
-363,-463,14790,-985,-339,-323
-291,-690,14846,-913,-347,-323
84,40,15069,-965,-295,-369
248,-299,14591,-865,-325,-381
52,-917,14591,-921,-393,-351
255,-710,15077,-909,-375,-347
510,-937,14575,-965,-383,-323
765,-873,15356,-857,-483,-357
-267,188,14077,-841,-319,-391
255,-259,14061,-762,-283,-393
255,510,14798,-1107,-423,-371
-491,255,15093,-1021,-371,-343
224,-578,14806,-905,41,-417
192,255,14838,-821,-329,-403
510,-475,14025,-881,-291,-313
765,255,14041,-933,-345,-417
-690,-562,14575,-1057,-259,-367
255,-865,14790,-953,-323,-293
255,-287,15101,-873,-363,-329
1020,-849,15077,-877,-309,-347
765,-463,14296,-937,-343,-351
1279,-335,14591,-1067,-401,-343
255,-746,15332,-989,-363,-319
510,-1371,15300,-961,-321,-335
1020,-977,15101,-809,-281,-385
765,255,14312,-933,-303,-331
1279,-1268,14830,-953,-363,-395
132,-495,15061,-1017,-343,-299
